keys,ru
launcher_option_update_automatically,Обновлять не спрашивая
launcher_option_installation_path,Расположение файлов игры
popup_gamelaunch_error_title,Ошибка при попытке запуска
popup_gamelaunch_error_text,Не удалось запустить игру
popup_gamekill_error_title,Ошибка при попытке завершить
popup_gamekill_error_text,Не удалось завершить игру
not_installed,не установлено
never,никогда
duration_seconds,{} секунд
duration_minutes,{} минут
duration_hours,{} час(ов)
duration_days,{} дней
duration_weeks,{} недель
duration_month,{} месяц(ев)
duration_years,{} лет
time_diff_ago,{} назад
last_play_time_now,сейчас